unit_id,book_id,charge,count_comment,date,letter,purchase,rate_change_purchase,rate_change_purchase_five,rate_change_purchase_five_avg,rate_change_recommendation_five,rate_change_recommendation_five_avg,recommendation,serial,sub_title,target,version
73,0,유료,3,2021.10.23,13,63,0.05,-0.015625,-0.003439020097286225,0.07692307692307693,0.01959967699688337,182,74,철광석왕 강수찬,True,1
74,0,유료,5,2021.10.24,13,61,-0.031746031746031744,-0.031746031746031744,-0.007469278033794161,0.006211180124223602,0.0039614690509831175,162,75,행운을 가진 천재,True,1
75,0,유료,4,2021.10.25,13,59,-0.03278688524590164,-0.04838709677419355,-0.011697745377015605,-0.07272727272727272,-0.016138599962129373,153,76,미래로 가는 길,True,1
76,0,유료,6,2021.10.26,12,64,0.0847457627118644,0.06666666666666667,0.017553211429982757,-0.047058823529411764,-0.009008475184945772,162,77,장례식,True,1
77,0,유료,3,2021.10.27,12,65,0.015625,0.031746031746031744,0.008959461429982753,-0.08241758241758242,-0.018939484625759135,167,78,차이나 리스크,True,1
78,0,유료,1,2021.10.28,13,66,0.015384615384615385,0.08196721311475409,0.020742123212644535,-0.018518518518518517,-0.0034430050574232804,159,79,바다의 괴물,True,1
79,0,유료,3,2021.10.29,13,68,0.030303030303030304,0.15254237288135594,0.03651460209987752,-0.0915032679738562,-0.02100065704903754,139,80,글로벌 스탠더드,True,1
80,0,유료,1,2021.10.30,13,70,0.029411764705882353,0.09375,0.022681102598382012,0.0,0.00566036707284143,162,81,그린 카자흐스탄,True,1
81,0,유료,8,2021.10.31,13,77,0.1,0.18461538461538463,0.043774852598382014,-0.1437125748502994,-0.03137666996419561,143,82,코발트 블루,True,1
82,0,유료,6,2021.11.01,13,80,0.03896103896103896,0.21212121212121213,0.049668958492487904,-0.12578616352201258,-0.02639362905301098,139,83,그랜드 잉가,True,1
83,0,유료,5,2021.11.02,13,109,0.3625,0.6029411764705882,0.13271820091673034,-0.014388489208633094,0.0014557895253338934,137,84,젊은 독재자,True,1
84,0,유료,7,2021.11.03,13,219,1.0091743119266054,2.1285714285714286,0.3776588377219111,-0.24074074074074073,-0.06545856220496071,123,85,2막이 내리고,True,1
85,0,유료,4,2021.11.04,13,786,2.589041095890411,9.207792207792208,0.9999191116945138,-0.7062937062937062,-0.20077172089210316,42,86,웰컴 투 케이맨,True,1
86,0,유료,0,2021.11.05,13,656,-0.16539440203562342,7.2,0.9488302514453482,-0.762589928057554,-0.24735014247052473,33,87,바이킹의 후예,True,1
87,0,유료,7,2021.11.06,13,565,-0.13871951219512196,4.18348623853211,0.8235253733965677,-0.8175182481751825,-0.3043590807744271,25,88,이슈타르의 사원,True,1
88,0,유료,5,2021.11.07,13,468,-0.17168141592920355,1.1369863013698631,0.5283114414326155,-0.8536585365853658,-0.3488116355189526,18,89,토럭터니,True,1
89,0,유료,0,2021.11.8,13,21,-0.9551282051282052,-0.9732824427480916,-0.35773088382203855,-1.0,-0.43417748917748916,0,90,푸른 황금,False,1
